M1,M2,M3,Support,Temperature,Pch4,Po2,Par,C2y,Type
Li,K,Mn,Mg,800,0.5666666667,0.2833333333,0.15,8.214982,HTP
Li,Fe,Tb,Mg,850,0.4,0.2,0.4,4.7123645208,HTP
Na,Na,none,Mg,850,0.5666666665,0.2833333334,0.15,7.363833,HTP
Na,Ni,Y,Mg,750,0.2571428571,0.0428571429,0.7,0.9814814271,HTP
Na,Ce,Tb,Mg,900,0.7285714286,0.1214285714,0.15,3.831034876,HTP
Na,Tb,Hf,Mg,800,0.5666666665,0.2833333334,0.15,8.551982,HTP
Mg,Ca,Zn,Mg,850,0.68,0.17,0.15,2.140482,HTP
Mg,Mn,none,Mg,850,0.5666666667,0.2833333333,0.15,7.8534922883,HTP
Mg,Zn,Eu,Mg,700,0.5666666665,0.2833333334,0.15,15.494094,HTP
Mg,Nd,none,Mg,850,0.2,0.1,0.7,9.503653,HTP
Ca,Zr,La,Mg,750,0.5666666667,0.2833333333,0.15,16.0851279908,HTP
Ti,Ni,Cs,Mg,800,0.4,0.2,0.4,1.5927343723,HTP
V,Fe,Ni,Mg,800,0.5666666667,0.2833333333,0.15,7.558912,HTP
V,Mo,Pd,Mg,900,0.2571428571,0.0428571429,0.7,0.5710721972,HTP
V,Tb,W,Mg,850,0.5666666667,0.2833333333,0.15,6.6885060587,HTP
Fe,Y,Nd,Mg,800,0.5666666667,0.2833333333,0.15,3.6370920523,HTP
Fe,Zr,none,Mg,850,0.5666666665,0.2833333334,0.15,7.061936,HTP
Fe,Ce,Tb,Mg,800,0.5666666667,0.2833333333,0.15,6.236992,HTP
Co,Zn,Sr,Mg,850,0.7285714285,0.1214285715,0.15,0.985061,HTP
Co,Zn,Tb,Mg,900,0.5666666665,0.2833333334,0.15,5.721083,HTP
Co,Y,Hf,Mg,700,0.5666666667,0.2833333333,0.15,7.0389724573,HTP
Ni,Y,Tb,Mg,900,0.24,0.06,0.7,5.633076,HTP
Y,La,Ce,Mg,700,0.5666666665,0.2833333334,0.15,12.13071,HTP
Mo,Cs,La,Mg,850,0.4,0.2,0.4,8.529655,HTP
Mo,Ce,Tb,Mg,800,0.5666666667,0.2833333333,0.15,7.3066330906,HTP
Li,Mg,Hf,Al,850,0.5666666667,0.2833333333,0.15,3.196445,HTP
Li,Ca,Mn,Al,850,0.5666666665,0.2833333334,0.15,7.20235,HTP
Li,Ti,La,Al,850,0.2,0.1,0.7,15.491301611,HTP
Li,Fe,none,Al,850,0.2,0.1,0.7,9.1721137725,HTP
Na,K,Hf,Al,850,0.4,0.2,0.4,8.2333619769,HTP
Na,Ti,Cu,Al,850,0.48,0.12,0.4,11.5384351542,HTP
Na,Mn,Ni,Al,850,0.2571428572,0.0428571429,0.7,1.195965,HTP
Na,Co,Ni,Al,800,0.5666666667,0.2833333333,0.15,7.760119,HTP
Na,Co,none,Al,850,0.2,0.1,0.7,9.327097727,HTP
Na,Cu,Ce,Al,900,0.5666666667,0.2833333333,0.15,3.15607,HTP
Mg,Mn,Cs,Al,900,0.2,0.1,0.7,8.571361,HTP
Mg,Co,Ba,Al,900,0.5666666667,0.2833333333,0.15,2.68219,HTP
Mg,La,Nd,Al,850,0.5666666665,0.2833333334,0.15,8.155818,HTP
K,Mn,Ni,Al,900,0.2571428571,0.0428571429,0.7,1.536943,HTP
K,Co,Cs,Al,850,0.2,0.1,0.7,9.3485953232,HTP
K,Y,Hf,Al,850,0.24,0.06,0.7,10.7510237067,HTP
K,La,W,Al,800,0.4,0.2,0.4,4.712427,HTP
Ti,Mn,Y,Al,850,0.5666666667,0.2833333333,0.15,10.4319453278,HTP
Ti,Fe,Mo,Al,850,0.4,0.2,0.4,9.3935574632,HTP
Ti,Cs,La,Al,800,0.4,0.2,0.4,7.638206007,HTP
V,Cu,Ba,Al,900,0.5666666665,0.2833333334,0.15,1.772113,HTP
Fe,Pd,Nd,Al,850,0.68,0.17,0.15,11.620269856,HTP
Fe,Ba,none,Al,850,0.5666666665,0.2833333334,0.15,4.858876,HTP
Fe,La,W,Al,850,0.5666666665,0.2833333334,0.15,2.736186,HTP
Co,Ni,Zr,Al,900,0.5666666665,0.2833333334,0.15,1.319313,HTP
Co,Zn,Nd,Al,850,0.4,0.2,0.4,10.2022274445,HTP
Co,Y,Tb,Al,800,0.5666666665,0.2833333334,0.15,5.915548,HTP
Ni,Cu,Zr,Al,750,0.24,0.06,0.7,1.58127,HTP
Ni,Zn,La,Al,750,0.2571428571,0.0428571429,0.7,0.964211,HTP
Cu,Y,Ce,Al,900,0.7285714285,0.1214285715,0.15,1.677541,HTP
Zn,Pd,Cs,Al,850,0.2571428571,0.0428571429,0.7,2.044943,HTP
Sr,Pd,none,Al,850,0.68,0.17,0.15,9.0556727666,HTP
Y,Pd,Ba,Al,850,0.4,0.2,0.4,9.3645010358,HTP
Zr,Cs,La,Al,850,0.2,0.1,0.7,9.2794582985,HTP
Li,K,Co,Si,850,0.2,0.1,0.7,10.435427,HTP
Li,Fe,W,Si,900,0.4,0.2,0.4,6.518734,HTP
Li,Ni,none,Si,850,0.4,0.2,0.4,8.130311,HTP
Li,Nd,Tb,Si,850,0.4,0.2,0.4,8.4163304906,HTP
Na,Sr,Mo,Si,850,0.2,0.1,0.7,12.886254,HTP
Mg,Cu,Sr,Si,800,0.5666666667,0.2833333333,0.15,7.306872,HTP
K,Mn,La,Si,850,0.4,0.2,0.4,8.105403,HTP
Mn,Tb,Hf,Ca,800,0.5666666667,0.2833333333,0.15,8.862521,HTP
Ti,Sr,La,Si,850,0.5666666667,0.2833333333,0.15,8.4103640084,HTP
Ti,Mo,Nd,Si,900,0.7285714286,0.1214285714,0.15,4.5470715745,HTP
V,Cs,Nd,Si,850,0.5666666667,0.2833333333,0.15,8.0155786001,HTP
Mn,Fe,Cu,Si,850,0.5666666665,0.2833333334,0.15,7.395275,HTP
Mn,Zn,Sr,Si,900,0.2,0.1,0.7,10.39965,HTP
Co,Ni,Cu,Si,850,0.4,0.2,0.4,6.126648,HTP
Co,Y,Nd,Si,800,0.5666666667,0.2833333333,0.15,8.7095618204,HTP
Ni,W,none,Si,700,0.2,0.1,0.7,0.6232144999,HTP
Cu,La,Tb,Si,900,0.4,0.2,0.4,3.901878,HTP
Cu,none,none,Si,800,0.5666666667,0.2833333333,0.15,8.110494,HTP
Zn,Sr,Pd,Si,850,0.2,0.1,0.7,1.199864,HTP
Zr,Cs,Cs,Si,900,0.7285714287,0.1214285714,0.15,2.490951,HTP
Mo,Ba,none,Si,850,0.4,0.2,0.4,8.501991,HTP
Cs,Ba,Ce,Si,850,0.2,0.1,0.7,7.794678,HTP
Li,V,Eu,Ca,850,0.2,0.1,0.7,13.643583,HTP
Li,Co,Mo,Ca,750,0.5666666667,0.2833333333,0.15,4.800301,HTP
Li,Cu,Cs,Ca,900,0.5666666667,0.2833333333,0.15,5.6062955454,HTP
Na,Mg,Hf,Ca,750,0.4,0.2,0.4,14.2956673087,HTP
Na,Ti,Ce,Ca,700,0.5666666667,0.2833333333,0.15,11.8812477901,HTP
Na,Mn,La,Ca,800,0.5666666665,0.2833333334,0.15,6.729278,HTP
Na,Cu,Hf,Ca,800,0.5666666667,0.2833333333,0.15,4.1653275177,HTP
Mg,Co,Ce,Ca,800,0.5666666665,0.2833333334,0.15,7.998322,HTP
Mg,Cu,Eu,Ca,900,0.5666666665,0.2833333334,0.15,4.602352,HTP
Mg,Sr,Y,Ca,800,0.4,0.2,0.4,14.420646,HTP
Mg,Sr,Ba,Ca,800,0.2,0.1,0.7,17.4474245764,HTP
Mg,Zr,Hf,Ca,750,0.5666666667,0.2833333333,0.15,15.9490713312,HTP
K,Sr,Y,Ca,700,0.4,0.2,0.4,9.865932,HTP
K,Y,Eu,Ca,750,0.5666666665,0.2833333334,0.15,13.052708,HTP
Ca,Mn,none,Ca,850,0.5666666667,0.2833333333,0.15,7.5559641607,HTP
Ca,Nd,Tb,Ca,850,0.5666666665,0.2833333334,0.15,7.20359,HTP
Ti,Fe,Sr,Ca,700,0.5666666667,0.2833333333,0.15,10.2721596287,HTP
Ti,Zn,Tb,Ca,700,0.5666666665,0.2833333334,0.15,12.470184,HTP
Ti,Cs,Ce,Ca,700,0.5666666667,0.2833333333,0.15,15.3675285872,HTP
V,Pd,W,Ca,900,0.2571428571,0.0428571429,0.7,0.5507138795,HTP
V,Ce,Hf,Ca,750,0.5666666667,0.2833333333,0.15,12.2742079417,HTP
Mn,Fe,Hf,Ca,800,0.5666666667,0.2833333333,0.15,7.6808965696,HTP
Fe,Y,Tb,Ca,750,0.5666666667,0.2833333333,0.15,9.366928,HTP
Fe,Ba,Ce,Ca,750,0.5666666665,0.2833333334,0.15,11.622263,HTP
Co,Cu,Nd,Ca,900,0.5666666667,0.2833333333,0.15,3.215459,HTP
Sr,Cs,La,Ca,750,0.68,0.17,0.15,7.960522,HTP
Li,Fe,Hf,Mg,900,0.5666666667,0.2833333333,0.15,2.480222,HTP
Y,Mo,Nd,Ca,800,0.4,0.2,0.4,13.23374,HTP
Ba,Eu,none,Ca,750,0.5666666665,0.2833333334,0.15,16.951361,HTP
Li,Ti,V,Ti,850,0.5666666667,0.2833333333,0.15,8.4040348071,HTP
Li,Fe,Ce,Ti,900,0.2,0.1,0.7,11.574851,HTP
Li,Zn,Pd,Ti,850,0.5666666665,0.2833333334,0.15,7.49431,HTP
Na,Fe,Pd,Ti,850,0.5666666665,0.2833333334,0.15,2.105925,HTP
Mg,Mn,Ce,Ti,850,0.2,0.1,0.7,14.215056,HTP
Mg,Sr,Tb,Ti,900,0.2,0.1,0.7,10.335693,HTP
Ca,V,Y,Ti,800,0.4,0.2,0.4,8.5657792603,HTP
Ti,Zn,La,Ti,800,0.4,0.2,0.4,10.3792873228,HTP
Ti,Zr,Ce,Ti,800,0.4,0.2,0.4,15.1905884709,HTP
Ti,Cs,W,Ti,750,0.4,0.2,0.4,16.590409,HTP
V,Co,La,Ti,800,0.5666666667,0.2833333333,0.15,8.128174,HTP
V,Co,Ce,Ti,700,0.5666666667,0.2833333333,0.15,5.4797169887,HTP
V,Ni,Zn,Ti,800,0.5666666667,0.2833333333,0.15,6.113688,HTP
Mn,Fe,Nd,Ti,750,0.4,0.2,0.4,9.424678417,HTP
Mn,Cu,Sr,Ti,850,0.68,0.17,0.15,8.174712,HTP
Mn,Nd,W,Ti,900,0.4,0.2,0.4,7.902746,HTP
Fe,Cu,Sr,Ti,850,0.5666666665,0.2833333334,0.15,8.201472,HTP
Fe,Zn,W,Ti,850,0.68,0.17,0.15,15.432585,HTP
Fe,Sr,Mo,Ti,800,0.5666666667,0.2833333333,0.15,8.255974,HTP
Co,Sr,Hf,Ti,800,0.5666666667,0.2833333333,0.15,13.7359916854,HTP
Ni,Zn,La,Ti,750,0.24,0.06,0.7,2.134821,HTP
Ni,Ce,W,Ti,750,0.5666666667,0.2833333333,0.15,9.2230725276,HTP
Cu,Zr,Tb,Ti,850,0.5666666665,0.2833333334,0.15,7.410794,HTP
Cu,Mo,Ce,Ti,800,0.4,0.2,0.4,15.274742,HTP
Cu,La,Tb,Ti,850,0.4,0.2,0.4,10.297495,HTP
Cu,Eu,Eu,Ti,800,0.5666666665,0.2833333334,0.15,5.909738,HTP
Zn,Zn,Nd,Ti,850,0.68,0.17,0.15,11.380061,HTP
Zn,Zr,Tb,Ti,850,0.2,0.1,0.7,12.9375970754,HTP
Y,Cs,Ce,Ti,850,0.4,0.2,0.4,12.438439,HTP
Y,Nd,Tb,Ti,850,0.5666666665,0.2833333334,0.15,8.665363,HTP
Mo,Ba,Ce,Ti,850,0.2,0.1,0.7,15.444334,HTP
Mo,Ce,Nd,Ti,900,0.2,0.1,0.7,6.977446,HTP
Mo,Ce,W,Ti,850,0.5666666667,0.2833333333,0.15,8.7497423885,HTP
Cs,Ba,Eu,Ti,800,0.5666666667,0.2833333333,0.15,13.3267368229,HTP
Li,Ca,Ca,Zr,850,0.5666666665,0.2833333334,0.15,1.330861,HTP
Li,Mo,Nd,Zr,700,0.4,0.2,0.4,16.688445,HTP
Li,Ba,Nd,Zr,900,0.24,0.06,0.7,1.136416,HTP
Li,La,Eu,Zr,800,0.5666666667,0.2833333333,0.15,6.28277863,HTP
Na,Ba,Nd,Zr,750,0.5666666667,0.2833333333,0.15,10.535837,HTP
Na,Eu,W,Zr,850,0.2,0.1,0.7,18.2044261866,HTP
Mg,V,Hf,Zr,850,0.5666666665,0.2833333334,0.15,3.175956,HTP
Mg,Zr,W,Zr,850,0.2,0.1,0.7,9.637352,HTP
K,Ba,Nd,Zr,700,0.4,0.2,0.4,8.4782166211,HTP
Ca,V,Cu,Zr,800,0.5666666667,0.2833333333,0.15,7.0327751437,HTP
Ca,Ni,Cu,Zr,750,0.5666666665,0.2833333334,0.15,6.329209,HTP
Ca,Sr,Zr,Zr,700,0.4,0.2,0.4,10.4398017521,HTP
V,Mn,W,Zr,850,0.5666666667,0.2833333333,0.15,7.8348549743,HTP
Mn,Ba,none,Zr,750,0.5666666667,0.2833333333,0.15,5.4490574346,HTP
Mn,Tb,Hf,Zr,850,0.2,0.1,0.7,1.403385,HTP
Fe,Cu,Zr,Zr,850,0.5666666665,0.2833333334,0.15,6.114935,HTP
Ni,Cs,Ba,Zr,700,0.4,0.2,0.4,1.1615300208,HTP
Zn,La,Ce,Zr,900,0.5666666665,0.2833333334,0.15,3.441771,HTP
Y,Mo,Nd,Zr,800,0.5666666667,0.2833333333,0.15,7.375684538,HTP
Li,Mg,Zr,Ba,800,0.2,0.1,0.7,18.6145650759,HTP
Li,Co,Zn,Ba,900,0.2,0.1,0.7,6.217331,HTP
Li,Co,Nd,Ba,900,0.68,0.17,0.15,7.123435,HTP
Li,Co,Eu,Ba,800,0.5666666667,0.2833333333,0.15,13.7725198042,HTP
Li,Zr,Cs,Ba,850,0.2,0.1,0.7,16.4384682434,HTP
Na,Ca,Mn,Ba,800,0.4,0.2,0.4,9.029411,HTP
Na,Fe,Ce,Ba,850,0.4,0.2,0.4,9.299244,HTP
Mg,K,Y,Ba,850,0.2,0.1,0.7,16.971192,HTP
Mg,V,Mn,Ba,750,0.5666666667,0.2833333333,0.15,10.21741072,HTP
Mg,Mn,Ni,Ba,850,0.2,0.1,0.7,8.715181007,HTP
Mg,Pd,none,Ba,900,0.2571428571,0.0428571429,0.7,0.836177,HTP
K,Ca,Zr,Ba,850,0.2,0.1,0.7,13.65483,HTP
K,V,Mo,Ba,850,0.2,0.1,0.7,18.5328609551,HTP
K,Zr,La,Ba,800,0.2,0.1,0.7,17.5134324615,HTP
Ca,Mn,Mo,Ba,850,0.4,0.2,0.4,10.301145,HTP
Ca,Y,Zr,Ba,800,0.4,0.2,0.4,10.955218,HTP
V,Mn,Cu,Ba,850,0.5666666667,0.2833333333,0.15,9.948276454,HTP
V,Fe,none,Ba,850,0.68,0.17,0.15,13.868476,HTP
V,Zr,Eu,Ba,900,0.2,0.1,0.7,12.883638122,HTP
Fe,Ba,La,Ba,850,0.2,0.1,0.7,14.109229,HTP
Co,Zn,Zr,Ba,900,0.2,0.1,0.7,12.4224462471,HTP
Zn,Hf,none,Ba,850,0.2,0.1,0.7,16.8548902637,HTP
Sr,Mo,none,Ba,850,0.2,0.1,0.7,21.2368623591,HTP
Mo,Cs,W,Ba,850,0.2,0.1,0.7,20.1858501165,HTP
Ce,Nd,Hf,Ba,800,0.5666666667,0.2833333333,0.15,15.2227020687,HTP
Li,Fe,Ba,La,700,0.5666666667,0.2833333333,0.15,15.246033,HTP
Li,Y,Eu,La,700,0.5666666667,0.2833333333,0.15,15.3875619188,HTP
Li,Ba,La,La,750,0.4,0.2,0.4,14.954234,HTP
Li,Nd,Tb,La,700,0.5666666667,0.2833333333,0.15,10.317098,HTP
Na,Ca,none,La,700,0.5666666667,0.2833333333,0.15,15.374779695,HTP
Na,Fe,Tb,La,850,0.5666666667,0.2833333333,0.15,7.48906,HTP
Mg,K,Fe,La,750,0.68,0.17,0.15,11.08413,HTP
Mg,Ca,Nd,La,750,0.4,0.2,0.4,16.170253,HTP
K,Co,Ce,La,800,0.5666666667,0.2833333333,0.15,2.3736540287,HTP
K,Cu,none,La,850,0.5666666665,0.2833333334,0.15,7.517418,HTP
K,none,none,La,800,0.5666666667,0.2833333333,0.15,7.933804,HTP
Ca,Mn,Sr,La,700,0.5666666665,0.2833333334,0.15,10.643704,HTP
Ca,Fe,Tb,La,750,0.5666666667,0.2833333333,0.15,12.271202,HTP
Ti,Co,Cu,La,900,0.7285714285,0.1214285715,0.15,1.298072,HTP
Ti,Co,Pd,La,700,0.4,0.2,0.4,0.4729792706,HTP
Ti,Zr,Ba,La,700,0.5666666665,0.2833333334,0.15,4.109466,HTP
V,Fe,Mo,La,800,0.5666666665,0.2833333334,0.15,7.698,HTP
V,Mo,none,La,900,0.2,0.1,0.7,14.855785,HTP
V,La,W,La,850,0.2,0.1,0.7,14.120749,HTP
V,Ce,Nd,La,700,0.5666666667,0.2833333333,0.15,8.367042652,HTP
Mn,Sr,Mo,La,700,0.5666666667,0.2833333333,0.15,10.8167563221,HTP
Fe,Cu,Zr,La,850,0.5666666665,0.2833333334,0.15,4.852996,HTP
Fe,Nd,Tb,La,700,0.5666666667,0.2833333333,0.15,13.412299,HTP
Ni,Hf,none,La,750,0.4,0.2,0.4,0.8235485615,HTP
Cu,Mo,Pd,La,900,0.2571428571,0.0428571429,0.7,0.471239353,HTP
Cu,La,W,La,850,0.5666666665,0.2833333334,0.15,8.155743,HTP
Zn,Y,none,La,750,0.5666666665,0.2833333334,0.15,15.070077,HTP
Zn,Zr,Cs,La,750,0.5666666665,0.2833333334,0.15,12.211521,HTP
Sr,Y,Ce,La,700,0.5666666667,0.2833333333,0.15,14.77693471,HTP
Mo,Cs,Tb,La,700,0.5666666667,0.2833333333,0.15,13.307038,HTP
Ba,Ce,Hf,La,750,0.5666666665,0.2833333334,0.15,13.948028,HTP
La,Tb,none,La,750,0.5666666667,0.2833333333,0.15,7.8427806824,HTP
Na,K,V,Ce,850,0.5666666667,0.2833333333,0.15,6.6475707876,HTP
Mg,K,none,Ce,800,0.5666666667,0.2833333333,0.15,8.507351,HTP
Mg,Fe,none,Ce,800,0.5666666667,0.2833333333,0.15,7.03468,HTP
Mg,Ni,Zn,Ce,800,0.7285714285,0.1214285715,0.15,1.309182,HTP
K,Co,Sr,Ce,900,0.4,0.2,0.4,6.403222,HTP
K,La,Ce,Ce,700,0.5666666667,0.2833333333,0.15,13.420735,HTP
K,Ce,Eu,Ce,900,0.4,0.2,0.4,5.084901,HTP
Ti,Ni,Ba,Ce,750,0.2,0.1,0.7,4.7876731675,HTP
Ti,Zn,Pd,Ce,800,0.5666666667,0.2833333333,0.15,1.1973160612,HTP
V,Sr,W,Ce,850,0.5142857143,0.0857142857,0.4,1.7344749129,HTP
V,Zr,Nd,Ce,850,0.5666666665,0.2833333334,0.15,7.485939,HTP
V,Pd,W,Ce,800,0.2,0.1,0.7,1.572863,HTP
Mn,Ni,Y,Ce,900,0.4,0.2,0.4,2.910711,HTP
Mn,Sr,La,Ce,850,0.5666666665,0.2833333334,0.15,8.634161,HTP
Mn,Y,Zr,Ce,800,0.5666666667,0.2833333333,0.15,6.646888,HTP
Mn,Ba,La,Ce,850,0.5666666665,0.2833333334,0.15,8.647695,HTP
Mn,none,none,Ce,800,0.5666666667,0.2833333333,0.15,4.8981054389,HTP
Fe,Zn,La,Ce,800,0.5666666667,0.2833333333,0.15,3.536593,HTP
Fe,Y,La,Ce,800,0.5666666667,0.2833333333,0.15,5.054916,HTP
Ni,Sr,Nd,Ce,800,0.4,0.2,0.4,10.249025,HTP
Ni,Nd,Eu,Ce,900,0.2,0.1,0.7,8.320305,HTP
Zn,Pd,Ce,Ce,800,0.5666666665,0.2833333334,0.15,2.184304,HTP
Zn,La,Nd,Ce,750,0.5666666667,0.2833333333,0.15,9.164069,HTP
Sr,Cs,none,Ce,800,0.4,0.2,0.4,12.540572,HTP
Sr,Ce,none,Ce,700,0.5666666667,0.2833333333,0.15,10.9065275555,HTP
Y,Zr,Eu,Ce,850,0.5666666665,0.2833333334,0.15,7.182324,HTP
Mo,Pd,Ba,Ce,800,0.4,0.2,0.4,0.715220802,HTP
Cs,Ce,Nd,Ce,800,0.5666666667,0.2833333333,0.15,5.8568723477,HTP
Ba,La,W,Al,800,0.4,0.2,0.4,3.513957,HTP
Tb,Hf,W,La,750,0.5666666665,0.2833333334,0.15,15.211479,HTP
Ni,Ba,Hf,Zr,850,0.5142857143,0.0857142857,0.4,1.315615,HTP
Li,La,W,Zr,850,0.2,0.1,0.7,13.616111,HTP
K,Mn,Zn,Zr,750,0.5666666665,0.2833333334,0.15,6.207131,HTP
Co,Ce,Nd,Zr,800,0.2571428571,0.0428571429,0.7,1.209233,HTP
Li,Co,Y,Zr,750,0.5666666667,0.2833333333,0.15,2.206972,HTP
La,Eu,W,Zr,850,0.4,0.2,0.4,4.810295,HTP
Li,Hf,none,Al,900,0.4,0.2,0.4,4.913097,HTP
Mn,Eu,Hf,Ce,800,0.5666666665,0.2833333334,0.15,6.205609,HTP
Ca,W,none,Ba,800,0.4,0.2,0.4,6.20282,HTP
Mn,Fe,Nd,Zr,850,0.4,0.2,0.4,4.713005,HTP
Na,V,Mo,Zr,800,0.5666666667,0.2833333333,0.15,8.217481,HTP
K,Mn,Ce,Zr,800,0.5666666667,0.2833333333,0.15,6.608805,HTP
Ni,Y,Eu,Zr,800,0.2571428572,0.0428571429,0.7,1.013521,HTP
Sr,Ba,Hf,Ba,850,0.2,0.1,0.7,10.612461,HTP
Na,K,none,Zr,750,0.5666666665,0.2833333334,0.15,6.411834,HTP
Sr,Pd,W,Ca,900,0.2571428571,0.0428571429,0.7,1.009589,HTP
Ca,Cu,Hf,Zr,800,0.5666666665,0.2833333334,0.15,1.915152,HTP
Na,Eu,Hf,Mg,750,0.5666666667,0.2833333333,0.15,16.61011,HTP
Pd,Ce,Tb,La,900,0.2571428571,0.0428571429,0.7,1.111173,HTP
Na,Pd,W,La,900,0.24,0.06,0.7,1.306809,HTP
Ti,Y,Ce,Ti,800,0.5666666667,0.2833333333,0.15,1.312776,HTP
Na,Ce,Tb,Si,850,0.4,0.2,0.4,8.916006,HTP
Ni,Mo,Eu,Ti,850,0.2,0.1,0.7,4.20364,HTP
Li,Tb,none,Zr,900,0.5666666665,0.2833333334,0.15,6.011748,HTP
Mn,Y,Hf,Ba,900,0.68,0.17,0.15,6.10898,HTP
Ca,Ti,Cu,Si,900,0.2,0.1,0.7,9.70987,HTP
La,Ce,W,Ti,850,0.5666666665,0.2833333334,0.15,12.515516,HTP
Mg,Ni,W,Ba,850,0.2,0.1,0.7,9.613988,HTP
Ce,Nd,Tb,Ti,800,0.4,0.2,0.4,10.80872,HTP
K,Zr,Tb,Si,900,0.68,0.17,0.15,7.715794,HTP
Zn,Tb,Hf,Ti,850,0.2,0.1,0.7,11.004799,HTP
Mg,Ti,La,Ti,850,0.2,0.1,0.7,12.01029,HTP
Na,V,Y,Ce,850,0.5666666665,0.2833333334,0.15,7.311141,HTP
Mg,Zn,Eu,Si,850,0.5666666665,0.2833333334,0.15,7.614427,HTP
Ti,V,Ba,Mg,900,0.2,0.1,0.7,8.219163,HTP
Ni,Ce,Nd,Si,850,0.2,0.1,0.7,8.306126,HTP
Ti,Ni,Hf,La,900,0.2,0.1,0.7,9.615648,HTP
Co,Sr,Ba,Zr,900,0.2571428572,0.0428571429,0.7,4.882481,HTP
Fe,La,Hf,Mg,850,0.5666666667,0.2833333333,0.15,6.502292,HTP
Li,Ni,Hf,Si,850,0.4,0.2,0.4,11.175053,HTP
Li,K,Mn,Zr,750,0.5666666667,0.2833333333,0.15,10.698479,HTP
